descripcion_candidatura,sum cant_votos,CIRCUITO,COMUNA
Buenos Aires Primero,818,00001,1
Buenos Aires Primero,645,00002,1
Buenos Aires Primero,405,00003,1
Buenos Aires Primero,363,00004,1
Buenos Aires Primero,2110,00005,1
Buenos Aires Primero,2265,00006,1
Buenos Aires Primero,1067,00007,1
Buenos Aires Primero,860,00008,1
Buenos Aires Primero,1033,00009,1
Buenos Aires Primero,1152,00010,1
Buenos Aires Primero,1003,00011,1
Buenos Aires Primero,839,00012,1
Buenos Aires Primero,1037,00013,1
Buenos Aires Primero,432,00014,1
Buenos Aires Primero,518,00015,1
Buenos Aires Primero,609,00016,1
Buenos Aires Primero,880,00017,1
Buenos Aires Primero,449,00018,1
Buenos Aires Primero,722,00019,1
Buenos Aires Primero,995,00020,2
Buenos Aires Primero,1921,00021,2
Buenos Aires Primero,2205,00022,2
Buenos Aires Primero,2641,00023,2
Buenos Aires Primero,1903,00024,2
Buenos Aires Primero,1837,00025,2
Buenos Aires Primero,2335,00026,2
Buenos Aires Primero,1609,00027,2
Buenos Aires Primero,2099,00028,2
Buenos Aires Primero,1457,00029,2
Buenos Aires Primero,870,00030,3
Buenos Aires Primero,1012,00031,3
Buenos Aires Primero,1012,00032,3
Buenos Aires Primero,586,00033,3
Buenos Aires Primero,1165,00034,3
Buenos Aires Primero,805,00035,3
Buenos Aires Primero,578,00036,3
Buenos Aires Primero,696,00037,3
Buenos Aires Primero,1034,00038,3
Buenos Aires Primero,1048,00039,3
Buenos Aires Primero,884,00040,3
Buenos Aires Primero,1478,00041,3
Buenos Aires Primero,1246,00042,3
Buenos Aires Primero,1085,00043,4
Buenos Aires Primero,806,00044,4
Buenos Aires Primero,597,00045,4
Buenos Aires Primero,539,00046,4
Buenos Aires Primero,987,00047,4
Buenos Aires Primero,1283,00048,4
Buenos Aires Primero,902,00049,4
Buenos Aires Primero,1575,00050,4
Buenos Aires Primero,1130,00051,4
Buenos Aires Primero,715,00052,4
Buenos Aires Primero,902,00053,4
Buenos Aires Primero,1379,00054,4
Buenos Aires Primero,657,00055,4
Buenos Aires Primero,619,00056,4
Buenos Aires Primero,1412,00057,4
Buenos Aires Primero,1243,00058,5
Buenos Aires Primero,1043,00059,5
Buenos Aires Primero,1515,00060,5
Buenos Aires Primero,1626,00061,5
