agrupacion_nombre,sum votos_cantidad,circuito_id,seccion_nombre
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,381,00001,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,357,00002,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,24,00003,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,20,00004,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,760,00005,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,193,00006,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,130,00007,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,140,00008,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,261,00009,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,256,00010,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,331,00011,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,289,00012,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,409,00013,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,125,00014,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,280,00015,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,269,00016,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,412,00017,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,207,00018,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,360,00019,1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,139,00020,2
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,82,00021,2
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,262,00022,2
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,407,00023,2
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,199,00024,2
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,142,00025,2
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,194,00026,2
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,280,00027,2
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,429,00028,2
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,347,00029,2
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,290,00030,3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,342,00031,3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,337,00032,3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,236,00033,3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,492,00034,3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,433,00035,3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,303,00036,3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,363,00037,3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,412,00038,3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,398,00039,3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,329,00040,3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,646,00041,3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,537,00042,3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,459,00043,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,319,00044,4
